text_id,n_words,n_vowels,schwa_v1_AH0,oov_g2p_filled,oov_still_missing,oov_fill_rate,register
spoken_telephone_switchboard_22_sw2275-ms98-a-trans,1849,2215,0.1417607223476298,0,1,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2276-ms98-a-trans,1143,1401,0.14775160599571735,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2277-ms98-a-trans,2052,2341,0.12430585219991457,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2278-ms98-a-trans,2431,2893,0.13169720013826478,0,2,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2279-ms98-a-trans,1902,2239,0.12505582849486377,2,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2281-ms98-a-trans,2348,2832,0.15783898305084745,9,1,0.9,spoken_phone
spoken_telephone_switchboard_22_sw2282-ms98-a-trans,1976,2432,0.16200657894736842,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_22_sw2283-ms98-a-trans,1989,2281,0.13459009206488382,6,1,0.8571428571428571,spoken_phone
spoken_telephone_switchboard_22_sw2284-ms98-a-trans,2053,2462,0.1510966693744923,5,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2285-ms98-a-trans,1894,2282,0.1586327782646801,0,2,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2286-ms98-a-trans,1596,2078,0.1843118383060635,1,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2287-ms98-a-trans,1510,1801,0.16379789006107717,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2288-ms98-a-trans,1947,2336,0.10787671232876712,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2289-ms98-a-trans,1972,2392,0.17683946488294314,0,1,0.0,spoken_phone
